id,name,brand,category,os,price,rating,cpu,gpu,screenRate,ram,storage,diskType,resolution,screenSize,weight,batteryLife,image
"83LK000BVN","Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX/16GB/512GB/4GB RTX2050/144Hz/Win11 (83LK000BVN)","LENOVO","Gaming","Windows 11","17690000","4.9","i5 12450HX","RTX 2050 4GB","144","16","512GB","SSD","Full HD","15.6","1.8","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332365/lenovo-loq-15iax9e-i5-83lk000bvn-thumb-638754880317162569-600x600.jpg"
"2046VN","Laptop MSI Gaming Thin 15 B12UCX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (2046VN)","MSI","Gaming","Windows 11","15690000","5.0","i5 12450H 2GHz","RTX 2050 4GB","144","16","512GB","SSD","Full HD","15.6","1.9","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/326124/msi-thin-15-b12ucx-i5-2046vn-140225-102530-055-600x600.jpg"
"NH.QPGSV.004","Laptop Acer Gaming Nitro V 15 ANV15 41 R2UP R5 6600H/16GB/512GB/4GB RTX2050/165Hz/Win11 (NH.QPGSV.004)","ACER","Gaming","Windows 11","17690000","5.0","Ryzen 5 6600H 3.3GHz","RTX 2050 4GB","165","16","512GB","SSD","Full HD","15.6","2.1","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333430/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004-638774737367845195-600x600.jpg"
"83GS000JVN","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/16GB/512GB/6GB RTX3050/144Hz/Win11 (83GS000JVN)","LENOVO","Gaming","Windows 11","21990000","4.9","i5 12450HX","RTX 3050 6GB","144","16","512GB","SSD","Full HD","15.6","2.4","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/322072/lenovo-loq-gaming-15iax9-i5-83gs000jvn-thumb-638754851503076038-600x600.jpg"
"RP745W","Laptop Asus Gaming Vivobook K3605ZF i5 12500H/16GB/512GB/4GB RTX2050/Win11 (RP745W)","ASUS","Gaming","Windows 11","17190000","4.9","i5 12500H 2.5GHz","RTX 2050 4GB","144","16","512GB","SSD","WUXGA","16.0","1.8","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/328237/asus-vivobook-k3605zf-i5-rp745w-170225-112521-757-600x600.jpg"
"94F19PA","Laptop HP Gaming VICTUS 15 fb1022AX R5 7535HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (94F19PA)","HP","Gaming","Windows 11","16990000","5.0","Ryzen 5 7535HS 3.3GHz","RTX 2050 4GB","144","16","512GB","SSD","Full HD","15.6","2.3","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/321467/hp-victus-15-fb1022ax-r5-94f19pa-170225-104741-220-600x600.jpg"
"460VN","Laptop MSI Gaming GF63 Thin 12VE i5 12450H/16GB/512GB/6GB RTX4050/144Hz/Win11 (460VN)","MSI","Gaming","Windows 11","19690000","4.9","i5 12450H 2GHz","RTX 4050 6GB","144","16","512GB","SSD","Full HD","15.6","1.9","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/326861/msi-gf63-thin-12ve-i5-460vn-thumb-638754869517722845-600x600.jpg"
"NH.QPFSV.001","Laptop Acer Gaming Nitro V 15 ANV15 41 R1JY R5 6600H/16GB/512GB/6GB RTX3050/165Hz/Win11 (NH.QPFSV.001)","ACER","Gaming","Windows 11","20490000","5.0","Ryzen 5 6600H 3.3GHz","RTX 3050 6GB","165","16","512GB","SSD","Full HD","15.6","2.1","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333427/acer-nitro-v-15-anv15-41-r1jy-r5-nhqpfsv001-thumb-638760100059925740-600x600.jpg"
"83GS00D9VN","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/6GB RTX3050/144Hz/Win11 (83GS00D9VN)","LENOVO","Gaming","Windows 11","23190000","5.0","i5 12450HX","RTX 3050 6GB","144","24","512GB","SSD","Full HD","15.6","2.4","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327050/lenovo-loq-15iax9-i5-83gs00d9vn-thumb-638754869781903463-600x600.jpg"
"8Y6W3PA","Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA)","HP","Gaming","Windows 11","17690000","4.9","i5 12450H 2GHz","RTX 2050 4GB","144","16","512GB","SSD","Full HD","15.6","2.3","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/318163/hp-victus-15-fa1139tx-i5-8y6w3pa-170225-104358-047-600x600.jpg"
"NX.KQ4SV.002","Laptop Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H/16GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.002)","ACER","Gaming","Windows 11","17690000","4.9","i5 13420H 2.1GHz","RTX 2050 4GB","60","16","512GB","SSD","Full HD","15.6","1.7","3.0","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/314630/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002-140225-101136-979-600x600.jpg"
